policy,l1_size,predictor,num_cycles
random,2048,local,4433402
lru,4096,local,4298757
treelru,1024,local,4844768
lru,512,local,6432183
random,4096,local,4318388
random,256,local,12156459
treelru,2048,local,4412680
lru,1024,local,4844768
treelru,256,local,11330950
random,512,local,6489174
lru,256,local,11330950
treelru,4096,local,4298757
lru,2048,local,4412680
treelru,512,local,6432183
random,1024,local,4862653
lip,2048,local,4509096
mru,4096,local,5643634
lip,256,local,13776140
mru,512,local,13455993
lip,4096,local,4357562
lfu,1024,local,5375220
lfu,2048,local,4619259
lip,512,local,6748387
mru,1024,local,8152944
lfu,256,local,19178692
mru,256,local,19211402
lfu,4096,local,4338402
mru,2048,local,6462308
lip,1024,local,5062570
fifo,2048,local,4464303
lfu,512,local,10793535
secondchance,4096,local,4274494
secondchance,512,local,6084958
fifo,256,local,11362534
fifo,4096,local,4333873
nru,1024,local,4754982
secondchance,1024,local,4742732
fifo,512,local,6644884
nru,256,local,11067818
nru,2048,local,4373561
secondchance,2048,local,4365024
secondchance,256,local,12184141
fifo,1024,local,4897504
nru,512,local,6245093
nru,4096,local,4278582
rrip,2048,local,4437635
brrip,4096,local,4280725
brrip,512,local,6480413
rrip,256,local,11219255
rrip,4096,local,4319668
brrip,1024,local,4770345
rrip,512,local,6568590
brrip,2048,local,4362269
rrip,1024,local,4930070
brrip,256,local,13015489
